Files,Folder,#LoC,Theorems,Implementations,Documentation,#Doc/#LoC (%),Proved
BeaconChain.dfy,/src/dafny/beacon,12,0,0,62,517,0
StateTransition.dfy,/src/dafny/beacon,58,1,4,168,290,0
Validators.dfy,/src/dafny/beacon,9,0,0,47,522,0
Math.dfy,/src/dafny/beacon/helpers,93,6,1,22,24,0
MathHelper.dfy,/src/dafny/beacon/helpers/helper_lemmas,652,20,0,11,2,20
div.r.dfy,/src/dafny/libraries/reals,21,3,0,0,0,3
mul.r.dfy,/src/dafny/libraries/reals,9,1,0,0,0,1
Merkleise.dfy,/src/dafny/merkle,257,9,17,148,58,26
BitListSeDes.dfy,/src/dafny/ssz,211,7,3,58,27,0
BoolSeDes.dfy,/src/dafny/ssz,18,0,2,3,17,2
BytesAndBits.dfy,/src/dafny/ssz,76,3,6,39,51,9
Constants.dfy,/src/dafny/ssz,79,0,0,22,28,0
IntSeDes.dfy,/src/dafny/ssz,20,1,2,4,20,3
Serialise.dfy,/src/dafny/ssz,123,3,4,26,21,7
DafTests.dfy,/src/dafny/utils,47,0,4,25,53,4
Eth2Types.dfy,/src/dafny/utils,74,5,0,46,62,5
Helpers.dfy,/src/dafny/utils,207,11,2,59,29,13
MathHelpers.dfy,/src/dafny/utils,133,6,2,19,14,8
NativeTypes.dfy,/src/dafny/utils,28,0,0,13,46,0
SeqHelpers.dfy,/src/dafny/utils,38,6,0,12,32,6
Merkleise.test.dfy,/test/dafny/merkle,23,0,1,10,43,0
BitListSeDes.tests.dfy,/test/dafny/ssz,14,0,1,7,50,1
MathHelpers.tests.dfy,/test/dafny/utils,13,0,1,17,131,1
,TOTAL,2215,82,50,818,37,109
