Folder,#Files,#LoC,Theorems,Implementations,Documentation,#Doc/#LoC (%),Proved
/src/dafny/beacon/helpers/helper_lemmas,5,824,27,5,310,38,20
/src/dafny/beacon/helpers/helper_lemmas,2,745,26,1,33,4,20
/src/dafny/beacon/helpers/helper_lemmas,1,652,20,0,11,2,20
/src/dafny/libraries/reals,2,30,4,0,0,0,4
/src/dafny/merkle,1,257,9,17,148,58,26
/src/dafny/ssz,6,527,14,17,152,29,21
/src/dafny/utils,6,527,28,8,174,33,36
/test/dafny/merkle,1,23,0,1,10,43,0
/test/dafny/ssz,1,14,0,1,7,50,1
/test/dafny/utils,1,13,0,1,17,131,1
